Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-01-04,34.02,57.10214,11.928628,28.32,23.27,26.67,31.08,31.405632,30.0
2010-01-05,34.13,57.5682,12.147875,28.42,23.24,26.68,30.71,31.097635,30.11
2010-01-06,34.71,58.25758,12.1722355,28.48,22.98,26.66,30.89,31.415567,30.15
2010-01-07,34.44,58.170193,12.432083,28.79,22.89,26.66,30.75,31.524855,30.4
2010-01-08,34.92,58.548866,12.359001,29.25,23.04,26.57,30.72,31.574533,30.39
2010-01-11,34.73,58.47119,12.367121,29.57,22.95,26.64,31.04,31.753368,30.33
2010-01-12,34.07,57.626453,12.188476,29.33,22.7,26.79,30.91,31.524855,29.94
2010-01-13,34.47,57.840065,12.32652,29.45,22.92,26.98,31.25,31.942142,30.28
2010-01-14,34.05,58.00513,12.383362,29.45,22.98,26.9,31.11,32.230263,30.28
2010-01-15,33.8,57.539066,12.131634,29.07,22.66,26.77,30.91,32.01169,29.98
2010-01-19,34.34,58.06339,12.285918,29.39,23.05,26.93,31.27,32.786644,30.38
2010-01-20,33.73,57.160393,12.253438,28.94,22.68,26.73,30.94,32.508457,29.97
2010-01-21,32.27,55.995243,11.904267,28.27,22.44,26.35,30.49,31.803043,29.59
2010-01-22,31.63,54.665028,11.514496,27.84,21.66,26.29,29.82,31.455307,29.02
2010-01-25,31.91,55.02428,11.579458,28.02,21.84,26.34,30.02,31.455307,29.17
2010-01-26,31.46,54.67474,11.376452,27.9,21.78,26.31,30.14,31.276472,29.21
2010-01-27,31.19,54.46113,11.65254,27.98,21.96,26.37,29.94,31.49505,29.26
2010-01-28,30.63,53.88826,11.595698,27.66,21.33,26.3,29.71,31.296343,29.09
2010-01-29,30.14,52.9173,11.514496,27.38,20.96,26.2,29.53,31.077766,28.91
2010-02-01,31.34,54.665028,11.709382,27.79,21.2,26.4,29.72,31.2566,29.28
2010-02-02,31.44,55.38354,11.823066,28.32,21.41,26.78,29.96,31.9024,29.69
2010-02-03,31.08,54.90777,11.693141,28.15,21.46,26.59,29.75,31.47518,29.71
2010-02-04,29.92,52.655144,11.189687,27.32,20.86,26.05,28.97,30.68035,28.85
2010-02-05,30.48,52.664852,11.31961,27.2,21.07,25.98,28.92,30.630674,28.77
2010-02-08,29.99,52.179375,11.092243,26.9,20.98,25.95,28.59,30.481644,28.59
2010-02-09,30.72,53.276554,11.205927,27.42,21.16,26.26,28.88,30.720093,29.03
2010-02-10,30.51,53.053234,11.29525,27.38,21.1,26.23,28.75,30.53132,28.91
2010-02-11,31.03,53.956226,11.31961,27.79,21.32,26.44,28.92,30.739964,29.25
2010-02-12,30.97,53.975647,11.32773,27.57,21.36,26.44,28.81,30.670416,29.25
2010-02-16,31.75,55.24761,11.563217,28.22,21.68,26.71,29.31,30.93867,29.72
2010-02-17,31.77,55.16993,11.603819,28.46,21.74,26.9,29.19,31.177118,29.96
2010-02-18,32.11,55.480633,11.676901,28.72,21.88,27.06,29.35,31.326149,30.15
2010-02-19,32.29,55.69425,11.741862,28.86,21.82,27.12,29.76,31.326149,30.22
2010-02-22,32.15,54.92719,11.896147,28.88,21.78,27.12,29.6,31.23673,30.21
2010-02-23,31.64,54.01449,11.676901,28.51,21.51,26.97,29.4,30.93867,30.03
2010-02-24,31.56,54.35432,11.879907,28.8,21.72,27.14,29.43,31.167185,30.42
2010-02-25,31.49,54.38345,11.847425,28.73,21.66,27.16,29.37,31.187054,30.47
2010-02-26,31.5,54.509674,11.920508,28.84,21.69,27.03,29.14,31.19699,30.52
2010-03-01,31.98,55.014576,11.952989,29.22,21.97,27.22,29.56,31.49505,31.0
2010-03-02,32.25,55.47093,11.99359,29.27,21.94,27.32,29.65,31.604338,30.84
2010-03-03,32.53,55.713665,12.00171,29.31,21.95,27.33,29.6,31.47518,30.93
2010-03-04,32.75,55.42238,12.123514,29.45,22.04,27.42,29.66,31.375826,31.21
2010-03-05,33.17,56.461308,12.359001,29.9,22.31,27.59,29.96,31.81298,31.79
2010-03-08,33.17,56.37392,12.383362,29.76,22.43,27.49,29.96,31.624208,31.87
2010-03-09,32.96,56.37392,12.423963,30.0,22.53,27.45,29.92,31.604338,31.82
